# This data file was created on Mon Aug 22 10:50:42 2016
# GBA 139 bake
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1471885620.901528, 307.975, 299.781, 10000.0, 1.2676494, 0.0007683999999999999
1471885647.584324, 307.763, 298.772, 100.0, 1.271118, 0.0016250000000000001
1471885652.710348, 307.72, 298.513, 1000.0, 1.26908, 0.000971
1471885655.839589, 307.694, 298.347, 10000.0, 1.267607, 0.0007639999999999999
1471885682.517624, 307.452, 296.807, 100.0, 1.271065, 0.001599
1471885687.627012, 307.402, 296.495, 1000.0, 1.269067, 0.000967
1471885690.740663, 307.371, 296.304, 10000.0, 1.267607, 0.000759
1471885717.392706, 307.091, 294.633, 100.0, 1.270993, 0.001562
1471885722.501794, 307.034, 294.304, 1000.0, 1.269015, 0.00095
1471885725.615999, 306.998, 294.103, 10000.0, 1.267587, 0.000759
1471885752.266592, 306.677, 292.368, 100.0, 1.2709203, 0.0015287999999999999
1471885757.37555, 306.612, 292.03, 1000.0, 1.2689973, 0.0009472
1471885760.487931, 306.572, 291.824, 10000.0, 1.267561, 0.0007516
1471885787.139131, 306.21, 290.057, 100.0, 1.270846, 0.00149
1471885792.247652, 306.137, 289.717, 1000.0, 1.268935, 0.0009339999999999999
1471885795.36355, 306.092, 289.51, 10000.0, 1.267516, 0.0007419999999999999
1471885822.058791, 305.691, 287.745, 100.0, 1.2707538, 0.0014455
1471885827.16797, 305.61, 287.409, 1000.0, 1.268893, 0.000904
1471885830.265296, 305.562, 287.204, 10000.0, 1.26747, 0.000726
1471885856.933591, 305.123, 285.469, 100.0, 1.27067, 0.001409
1471885862.041977, 305.035, 285.139, 1000.0, 1.26885, 0.000882
1471885865.171882, 304.982, 284.938, 10000.0, 1.267455, 0.000727
1471885891.855149, 304.505, 283.239, 100.0, 1.270574, 0.0013607
1471885896.981188, 304.41, 282.916, 1000.0, 1.2687914, 0.0008747999999999999
1471885900.094816, 304.352, 282.721, 10000.0, 1.267409, 0.000719
1471885926.743741, 303.844, 281.065, 100.0, 1.2704862, 0.0013301
1471885931.852198, 303.743, 280.754, 1000.0, 1.268728, 0.0008659999999999999
1471885934.966167, 303.681, 280.563, 10000.0, 1.2673516, 0.000716
1471885961.648695, 303.14, 278.951, 100.0, 1.2703827, 0.0012783
1471885966.742423, 303.035, 278.643, 1000.0, 1.268676, 0.0008399999999999999
1471885969.840187, 302.97, 278.459, 10000.0, 1.267329, 0.0007059999999999999
1471885996.521869, 302.402, 276.876, 100.0, 1.270287, 0.0012366999999999999
1471886001.631909, 302.291, 276.576, 1000.0, 1.268619, 0.0008219999999999999
1471886004.759478, 302.224, 276.394, 10000.0, 1.267281, 0.0006957
1471886031.45066, 301.629, 274.857, 100.0, 1.270188, 0.001206
1471886036.560729, 301.512, 274.565, 1000.0, 1.26855, 0.000828
1471886039.69067, 301.442, 274.389, 10000.0, 1.267236, 0.000691
1471886066.372383, 300.825, 272.894, 100.0, 1.2701043, 0.0011542
1471886071.465891, 300.705, 272.611, 1000.0, 1.268474, 0.0007949999999999999
1471886074.595515, 300.632, 272.439, 10000.0, 1.267189, 0.000681
1471886101.275432, 299.993, 270.986, 100.0, 1.270001, 0.0011240000000000002
1471886106.38454, 299.869, 270.714, 1000.0, 1.268438, 0.000797
1471886109.513817, 299.794, 270.544, 10000.0, 1.267145, 0.000663
1471886136.193567, 299.136, 269.135, 100.0, 1.2699186, 0.0011048
1471886141.319353, 299.008, 268.867, 1000.0, 1.268369, 0.000771
1471886144.416531, 298.93, 268.704, 10000.0, 1.267105, 0.000691
1471886171.097154, 298.256, 267.331, 100.0, 1.269818, 0.0010726
1471886176.222657, 298.125, 267.071, 1000.0, 1.268324, 0.00077
1471886179.336183, 298.045, 266.914, 10000.0, 1.267047, 0.000659
1471886206.016482, 297.354, 265.579, 100.0, 1.269726, 0.0010427
1471886211.14134, 297.222, 265.327, 1000.0, 1.268257, 0.0007599999999999999
1471886214.270823, 297.139, 265.174, 10000.0, 1.267009, 0.0006569999999999999
1471886240.936983, 296.435, 263.878, 100.0, 1.2696532, 0.0010104
