# This data file was created on Thu Mar  9 10:02:01 2017
# capacitor 2-19; sample GBA120; helium cool down... Frequencies: 100Hz, 1000Hz, 10000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage, Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage, Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage, Frequency [Hz]
1489003094.9451821, 284.14400000000001, 283.834, 1.760667, 0.000118, 1.5, 100, 1489003047.4189849, 284.06900000000002, 283.762, 1.7603427, 0.0001427, 15.0, 1000, 1489003035.003165, 284.04899999999998, 283.74299999999999, 1.75997, 0.00016899999999999999, 15.0, 10000
1489003165.348187, 284.255, 283.93900000000002, 1.7606299999999999, 0.000113, 1.5, 100, 1489003117.803894, 284.18000000000001, 283.86799999999999, 1.7603409999999999, 0.000144, 15.0, 1000, 1489003105.366385, 284.16000000000003, 283.85000000000002, 1.7599689999999999, 0.0001727, 15.0, 10000
1489003235.7207241, 284.36399999999998, 284.04300000000001, 1.7606379999999999, 0.00011400000000000001, 1.5, 100, 1489003188.191447, 284.29000000000002, 283.97300000000001, 1.7603413999999999, 0.000144, 15.0, 1000, 1489003175.758481, 284.27100000000002, 283.95400000000001, 1.7599674000000001, 0.00017340000000000001, 15.0, 10000
1489003306.0689819, 284.47300000000001, 284.14600000000002, 1.7606649999999999, 0.00012799999999999999, 1.5, 100, 1489003258.5529051, 284.39999999999998, 284.07600000000002, 1.7603424000000001, 0.0001438, 15.0, 1000, 1489003246.1442821, 284.38, 284.05799999999999, 1.7599670000000001, 0.00017110000000000001, 15.0, 10000
1489003376.8859501, 284.58100000000002, 284.24900000000002, 1.7606310000000001, 0.00012, 1.5, 100, 1489003329.0499859, 284.50799999999998, 284.17899999999997, 1.7603420000000001, 0.0001437, 15.0, 1000, 1489003316.500299, 284.488, 284.161, 1.759971, 0.00017149999999999999, 15.0, 10000
1489003447.809813, 284.68900000000002, 284.351, 1.760642, 0.00011900000000000001, 1.5, 100, 1489003400.001003, 284.61700000000002, 284.28199999999998, 1.7603409999999999, 0.0001437, 15.0, 1000, 1489003387.4349821, 284.59800000000001, 284.26400000000001, 1.7599659999999999, 0.00017039999999999999, 15.0, 10000
1489003518.749712, 284.79599999999999, 284.45299999999997, 1.760651, 0.00012300000000000001, 1.5, 100, 1489003470.914422, 284.72399999999999, 284.38400000000001, 1.7603409999999999, 0.0001448, 15.0, 1000, 1489003458.359045, 284.70499999999998, 284.36599999999999, 1.7599689999999999, 0.00017029999999999999, 15.0, 10000
1489003589.3589921, 284.90300000000002, 284.66899999999998, 1.7606900000000001, 0.00013449999999999999, 1.5, 100, 1489003541.809907, 284.82999999999998, 284.49400000000003, 1.760399, 0.00014540000000000001, 15.0, 1000, 1489003529.2991509, 284.81200000000001, 284.471, 1.7600207000000001, 0.00017349999999999999, 15.0, 10000
1489003659.7183521, 285.02999999999997, 285.28899999999999, 1.760697, 0.00012320000000000001, 1.5, 100, 1489003612.1963739, 284.94, 284.846, 1.760397, 0.000144, 15.0, 1000, 1489003599.7854099, 284.92000000000002, 284.745, 1.760027, 0.00017149999999999999, 15.0, 10000
1489003730.121273, 285.61200000000002, 286.05599999999998, 1.7606839999999999, 0.00012300000000000001, 1.5, 100, 1489003682.5819089, 285.07900000000001, 285.52499999999998, 1.7603971, 0.00014410000000000001, 15.0, 1000, 1489003670.1354101, 285.05200000000002, 285.39499999999998, 1.7600210000000001, 0.00017349999999999999, 15.0, 10000
1489003800.512145, 285.64600000000002, 277.65499999999997, 1.760702, 0.00012300000000000001, 1.5, 100, 1489003752.9669449, 285.66399999999999, 285.98200000000003, 1.7603899999999999, 0.00014540000000000001, 15.0, 1000, 1489003740.532028, 285.637, 286.12700000000001, 1.7600155, 0.0001762, 15.0, 10000
1489003870.8888941, 284.40800000000002, 251.13200000000001, 1.7606961999999999, 0.00012239999999999999, 1.5, 100, 1489003823.3535941, 285.44400000000002, 269.66500000000002, 1.760394, 0.0001448, 15.0, 1000, 1489003810.9250031, 285.57499999999999, 274.19499999999999, 1.7600210000000001, 0.00017100000000000001, 15.0, 10000
1489003941.2445149, 281.50599999999997, 225.727, 1.76074, 0.00013109999999999999, 1.5, 100, 1489003893.7345221, 283.62400000000002, 242.518, 1.7604150000000001, 0.000144, 15.0, 1000, 1489003881.3100049, 284.07100000000003, 247.16300000000001, 1.7600444, 0.00017320000000000001, 15.0, 10000
1489004011.6168039, 277.363, 203.851, 1.760783, 0.0001204, 1.5, 100, 1489003964.070261, 280.28100000000001, 218.25, 1.7604496999999999, 0.0001438, 15.0, 1000, 1489003951.6440351, 280.964, 222.26599999999999, 1.7600633000000001, 0.0001727, 15.0, 10000
1489004081.97876, 272.37900000000002, 185.142, 1.7608090000000001, 0.000118, 1.5, 100, 1489004034.4569819, 275.81700000000001, 197.46899999999999, 1.7604949999999999, 0.00014339999999999999, 15.0, 1000, 1489004022.0355041, 276.67099999999999, 200.89400000000001, 1.760111, 0.0001738, 15.0, 10000
1489004152.338964, 266.786, 169.048, 1.760896, 0.00012400000000000001, 1.5, 100, 1489004104.8075271, 270.625, 179.63999999999999, 1.760561, 0.00014359999999999999, 15.0, 1000, 1489004092.385694, 271.58600000000001, 182.59999999999999, 1.760175, 0.0001727, 15.0, 10000
