# This data file was created on Thu Mar  9 11:34:27 2017
# capacitor 2-19; sample GBA120; helium cool down after nitrogen to check DC Bias experiment... Frequencies: 100Hz, 1000Hz, 10000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage, Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage, Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage, Frequency [Hz]
1489079062.564301, 296.22899999999998, 295.5, 1.7667809999999999, 0.00012, 1.5, 100, 1489079015.02526, 296.22699999999998, 295.49099999999999, 1.7664580000000001, 0.00014770000000000001, 15.0, 1000, 1489079002.6091199, 296.22699999999998, 295.49000000000001, 1.7660800000000001, 0.00017320000000000001, 15.0, 10000
1489079132.9262631, 296.197, 293.64800000000002, 1.766764, 0.0001305, 1.5, 100, 1489079085.3811109, 296.23000000000002, 295.40899999999999, 1.7664580000000001, 0.000147, 15.0, 1000, 1489079072.9732921, 296.23000000000002, 295.5, 1.766076, 0.0001749, 15.0, 10000
1489079203.2971971, 295.952, 290.13299999999998, 1.7667649999999999, 0.000127, 1.5, 100, 1489079155.7637191, 296.14499999999998, 292.47399999999999, 1.7664599999999999, 0.0001474, 15.0, 1000, 1489079143.342016, 296.17700000000002, 293.12, 1.7660807000000001, 0.00017767, 15.0, 10000
1489079273.6632559, 295.48099999999999, 287.16500000000002, 1.7667839999999999, 0.0001305, 1.5, 100, 1489079226.1387501, 295.82100000000003, 289.05700000000002, 1.7664660000000001, 0.00014630000000000001, 15.0, 1000, 1489079213.716361, 295.89499999999998, 289.63299999999998, 1.766086, 0.0001783, 15.0, 10000
1489079344.471386, 294.86399999999998, 285.31900000000002, 1.766804, 0.00012300000000000001, 1.5, 100, 1489079296.640918, 295.29300000000001, 286.42099999999999, 1.766472, 0.00014899999999999999, 15.0, 1000, 1489079284.0909929, 295.39699999999999, 286.81700000000001, 1.766097, 0.00017459999999999999, 15.0, 10000
1489079415.389688, 294.19999999999999, 284.62700000000001, 1.766804, 0.0001214, 1.5, 100, 1489079367.564682, 294.64800000000002, 284.99700000000001, 1.7664858999999999, 0.00014559999999999999, 15.0, 1000, 1489079355.025739, 294.76600000000002, 285.15899999999999, 1.7661020000000001, 0.00017550000000000001, 15.0, 10000
1489079486.339957, 293.56700000000001, 284.64299999999997, 1.7668250000000001, 0.0001271, 1.5, 100, 1489079438.4991901, 293.988, 284.577, 1.7664949999999999, 0.00014899999999999999, 15.0, 1000, 1489079425.93276, 294.10300000000001, 284.59399999999999, 1.766108, 0.00017699999999999999, 15.0, 10000
1489079557.2491889, 292.99900000000002, 284.93599999999998, 1.7668299999999999, 0.00012300000000000001, 1.5, 100, 1489079509.4067819, 293.37299999999999, 284.726, 1.766508, 0.0001474, 15.0, 1000, 1489079496.8634679, 293.47699999999998, 284.678, 1.7661187, 0.0001763, 15.0, 10000
1489079628.1349339, 292.50200000000001, 285.22300000000001, 1.766848, 0.000126, 1.5, 100, 1489079580.319623, 292.82900000000001, 285.03500000000003, 1.7665150000000001, 0.00014899999999999999, 15.0, 1000, 1489079567.797534, 292.92000000000002, 284.98099999999999, 1.7661363000000001, 0.0001805, 15.0, 10000
1489079699.0963981, 292.06599999999997, 285.42899999999997, 1.7668489999999999, 0.000127, 1.5, 100, 1489079651.247328, 292.35300000000001, 285.29000000000002, 1.7665299999999999, 0.00014770000000000001, 15.0, 1000, 1489079638.6733501, 292.43400000000003, 285.25700000000001, 1.7661513, 0.00018039999999999999, 15.0, 10000
1489079770.0203459, 291.68099999999998, 285.66899999999998, 1.7668649999999999, 0.0001271, 1.5, 100, 1489079722.1949019, 291.93400000000003, 285.476, 1.7665390000000001, 0.0001471, 15.0, 1000, 1489079709.6316459, 292.005, 285.447, 1.7661594, 0.00017990000000000001, 15.0, 10000
1489079840.928201, 291.34500000000003, 285.56, 1.766866, 0.00013100000000000001, 1.5, 100, 1489079793.118988, 291.56700000000001, 285.755, 1.7665519999999999, 0.00014899999999999999, 15.0, 1000, 1489079780.5584829, 291.62900000000002, 285.709, 1.766167, 0.000174, 15.0, 10000
1489079911.868227, 290.95100000000002, 282.69400000000002, 1.7668619999999999, 0.0001271, 1.5, 100, 1489079864.0326419, 291.23399999999998, 284.97899999999998, 1.7665599999999999, 0.00014899999999999999, 15.0, 1000, 1489079851.466877, 291.29599999999999, 285.33999999999997, 1.7661742, 0.0001808, 15.0, 10000
1489079982.765204, 290.25700000000001, 275.983, 1.766899, 0.00013100000000000001, 1.5, 100, 1489079934.9610491, 290.77199999999999, 280.80799999999999, 1.76657, 0.00014880000000000001, 15.0, 1000, 1489079922.4193549, 290.87400000000002, 281.90300000000002, 1.7661834999999999, 0.00017560000000000001, 15.0, 10000
1489080053.694598, 289.113, 269.41199999999998, 1.7669090000000001, 0.000127, 1.5, 100, 1489080005.8859501, 289.93000000000001, 273.613, 1.7665831000000001, 0.0001474, 15.0, 1000, 1489079993.3389089, 290.11500000000001, 274.86500000000001, 1.766195, 0.00018000000000000001, 15.0, 10000
1489080124.623476, 287.64100000000002, 263.642, 1.7669410000000001, 0.0001282, 1.5, 100, 1489080076.798579, 288.666, 267.73500000000001, 1.7666071000000001, 0.00014809999999999999, 15.0, 1000, 1489080064.249027, 288.91300000000001, 268.61799999999999, 1.766222, 0.00017699999999999999, 15.0, 10000
1489080195.142374, 285.81999999999999, 255.34, 1.7669600000000001, 0.0001237, 1.5, 100, 1489080147.610745, 287.09500000000003, 261.32100000000003, 1.7666345999999999, 0.00014909999999999999, 15.0, 1000, 1489080135.170418, 287.39499999999998, 262.60000000000002, 1.7662500000000001, 0.0001783, 15.0, 10000
1489080265.511569, 283.45299999999997, 244.119, 1.767012, 0.000136, 1.5, 100, 1489080217.988426, 285.11599999999999, 251.828, 1.766675, 0.00014899999999999999, 15.0, 1000, 1489080205.5705659, 285.50599999999997, 253.767, 1.766284, 0.0001795, 15.0, 10000
1489080335.896667, 280.62200000000001, 235.53800000000001, 1.767069, 0.0001329, 1.5, 100, 1489080288.3736999, 282.56700000000001, 240.655, 1.766724, 0.0001505, 15.0, 1000, 1489080275.9324069, 283.05599999999998, 242.417, 1.7663249999999999, 0.00018000000000000001, 15.0, 10000
1489080406.258106, 277.47800000000001, 225.964, 1.7671250000000001, 0.000125, 1.5, 100, 1489080358.728745, 279.63999999999999, 232.38800000000001, 1.7667819, 0.00014909999999999999, 15.0, 1000, 1489080346.312547, 280.18000000000001, 234.09700000000001, 1.766384, 0.0001783, 15.0, 10000
1489080476.6348951, 273.988, 216.67599999999999, 1.767204, 0.00012899999999999999, 1.5, 100, 1489080429.103276, 276.38200000000001, 222.79400000000001, 1.7668504, 0.00014980000000000001, 15.0, 1000, 1489080416.6709261, 276.983, 224.49700000000001, 1.7664553000000001, 0.00018320000000000001, 15.0, 10000
