# This data file was created on Tue Mar  7 11:10:02 2017,,,,,,
# capacitor 2-19; sample GBA120; nitrogen cool down,,,,,,
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# DC bias set to LO,,,,,,
1488912413.751767,309.598,301.002,10000,1.759842,0.000157,15
1488912426.325101,309.478,300.918,1000,1.760155,0.00012,15
1488912474.164275,309.028,300.701,100,1.760389,9.9E-05,1.5
1488912484.691601,308.931,300.663,10000,1.759842,0.000157,15
1488912497.234088,308.817,300.621,1000,1.760168,0.00012,15
1488912545.07141,308.393,300.497,100,1.76041,0.000113,1.5
1488912555.614979,308.302,300.464,10000,1.75985,0.0001539,15
1488912568.175525,308.195,300.412,1000,1.760173,0.000124,15
1488912615.995087,307.796,300.2,100,1.760417,9.4E-05,1.5
1488912626.523336,307.71,300.165,10000,1.759849,0.000156,15
1488912639.08847,307.609,300.112,1000,1.760181,0.0001237,15
1488912686.919652,307.229,299.821,100,1.760424,0.0001068,1.5
1488912697.462511,307.146,299.73,10000,1.759853,0.000158,15
1488912710.018275,307.046,299.638,1000,1.760189,0.0001227,15
1488912757.679526,306.677,299.422,100,1.760429,0.0001,1.5
1488912768.088362,306.598,299.366,10000,1.759866,0.0001568,15
1488912780.520809,306.504,299.258,1000,1.760193,0.000124,15
1488912828.073214,306.145,298.962,100,1.760452,0.000101,1.5
1488912838.496308,306.067,298.891,10000,1.7598698,0.000156,15
1488912850.92674,305.975,298.793,1000,1.760202,0.0001272,15
1488912898.45004,305.624,298.493,100,1.760461,0.0001,1.5
1488912908.870519,305.549,298.437,10000,1.7598773,0.0001587,15
1488912921.306885,305.458,298.375,1000,1.760205,0.000128,15
1488912968.848832,305.118,298.157,100,1.76046,0.000109,1.5
1488912979.259329,305.045,298.117,10000,1.7598796,0.0001606,15
1488912991.686016,304.958,298.061,1000,1.760213,0.000128,15
1488913039.196457,304.629,297.786,100,1.760463,0.000115,1.5
1488913049.615629,304.557,297.736,10000,1.759881,0.000158,15
1488913062.033947,304.472,297.692,1000,1.760221,0.0001284,15
1488913109.576265,304.154,297.424,100,1.760491,0.000109,1.5
1488913120.000335,304.084,297.358,10000,1.7598463,0.0001627,15
1488913132.406422,304.001,297.284,1000,1.760193,0.00013,15
1488913179.951045,303.683,296.78,100,1.76046,0.000103,1.5
1488913190.355848,303.612,296.689,10000,1.759856,0.000157,15
1488913202.778156,303.527,296.601,1000,1.760198,0.0001306,15
1488913250.328105,303.207,296.395,100,1.760456,0.000111,1.5
1488913260.759161,303.139,296.373,10000,1.7598635,0.0001627,15
1488913273.178813,303.057,296.342,1000,1.760202,0.000133,15
1488913320.714977,302.752,296.166,100,1.760476,0.000106,1.5
1488913331.147517,302.687,296.139,10000,1.7598659,0.0001637,15
1488913343.574049,302.609,296.117,1000,1.760208,0.0001323,15
1488913391.100259,302.317,295.867,100,1.760518,0.00012,1.5
1488913401.519571,302.254,295.784,10000,1.7598706,0.000163,15
1488913413.948372,302.177,295.679,1000,1.760213,0.0001335,15
1488913461.490702,301.888,295.465,100,1.760502,0.000126,1.5
1488913471.938793,301.825,295.44,10000,1.759871,0.00016,15
1488913484.38168,301.751,295.417,1000,1.760218,0.000134,15
1488913531.926919,301.476,295.315,100,1.760471,0.000113,1.5
1488913542.339121,301.417,295.297,10000,1.759871,0.0001625,15
1488913554.761486,301.347,295.282,1000,1.76022,0.0001357,15
1488913602.306501,301.088,295.186,100,1.760469,0.000113,1.5
1488913612.719609,301.033,295.164,10000,1.759868,0.0001625,15
1488913625.149252,300.967,295.113,1000,1.760225,0.000135,15
1488913672.688761,300.715,294.745,100,1.760506,0.000103,1.5
1488913683.109883,300.659,294.69,10000,1.759869,0.0001648,15
1488913695.53782,300.593,294.63,1000,1.760229,0.0001344,15
1488913743.063546,300.342,294.468,100,1.760512,0.000114,1.5
1488913753.505518,300.288,294.409,10000,1.759877,0.0001659,15
1488913765.906362,300.223,294.35,1000,1.760233,0.000134,15
1488913813.432112,299.979,294.19,100,1.760508,0.000111,1.5
1488913823.847908,299.927,294.135,10000,1.759876,0.000167,15
1488913836.291416,299.864,294.068,1000,1.760235,0.000134,15
1488913883.838674,299.624,293.8,100,1.760507,0.00012,1.5
1488913894.255521,299.571,293.735,10000,1.759894,0.000164,15
1488913906.675745,299.508,293.659,1000,1.760239,0.000136,15
1488913954.207722,299.268,293.481,100,1.760501,0.000118,1.5
1488913964.639441,299.217,293.459,10000,1.759881,0.0001687,15
1488913977.081025,299.155,293.418,1000,1.760247,0.000136,15
1488914024.592842,298.924,293.294,100,1.760521,0.000126,1.5
1488914035.019228,298.875,293.274,10000,1.7598963,0.0001622,15
1488914047.446821,298.816,293.234,1000,1.760247,0.0001363,15
1488914094.977942,298.594,293.021,100,1.7605337,0.0001232,1.5
1488914105.391056,298.545,293.004,10000,1.759885,0.0001659,15
1488914117.815788,298.487,292.963,1000,1.760252,0.000137,15
1488914165.33565,298.269,292.775,100,1.760535,0.000115,1.5
1488914175.752131,298.222,292.728,10000,1.759888,0.000168,15
1488914188.163219,298.166,292.665,1000,1.760254,0.0001375,15
