# This data file was created on Tue Mar  7 14:10:01 2017
# capacitor 2-19, sample GBA120, nitrogen cool down... Frequencies: 100Hz, 1000Hz, 10000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage, Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage, Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage, Frequency [Hz]
1488910279.4788151, 349.23899999999998, 326.274, 1.7599860000000001, -0.00011400000000000001, 1.5, 100, 1488910231.9546211, 350.00099999999998, 326.274, 1.7603200000000001, 4.6e-05, 15.0, 1000, 1488910219.548667, 350.00200000000001, 326.274, 1.7600370000000001, 0.0001284, 15.0, 10000
1488910349.8562541, 346.73700000000002, 326.24299999999999, 1.7600279999999999, -0.00012999999999999999, 1.5, 100, 1488910302.328697, 348.39699999999999, 326.27100000000002, 1.7602989, 5.1799999999999999e-05, 15.0, 1000, 1488910289.9022951, 348.85300000000001, 326.27300000000002, 1.7600209, 0.0001317, 15.0, 10000
1488910420.240325, 344.495, 326.14999999999998, 1.760089, -0.000135, 1.5, 100, 1488910372.697968, 345.98399999999998, 326.21899999999999, 1.7602500000000001, 6.6000000000000005e-05, 15.0, 1000, 1488910360.2792261, 346.39100000000002, 326.233, 1.759973, 0.0001272, 15.0, 10000
1488910490.593559, 342.47699999999998, 326.00400000000002, 1.760135, -0.00012, 1.5, 100, 1488910443.0593081, 343.81400000000002, 326.10700000000003, 1.760205, 7.6000000000000004e-05, 15.0, 1000, 1488910430.6506, 344.18099999999998, 326.13099999999997, 1.7599320000000001, 0.000125, 15.0, 10000
1488910561.378751, 340.63400000000001, 325.815, 1.760173, -9.5000000000000005e-05, 1.5, 100, 1488910513.543014, 341.86000000000001, 325.947, 1.7601640000000001, 8.0599999999999994e-05, 15.0, 1000, 1488910501.0093241, 342.19299999999998, 325.97800000000001, 1.759903, 0.0001238, 15.0, 10000
1488910632.303535, 338.95999999999998, 325.59100000000001, 1.7602169999999999, -8.1000000000000004e-05, 1.5, 100, 1488910584.451432, 340.072, 325.74599999999998, 1.7601389999999999, 8.6000000000000003e-05, 15.0, 1000, 1488910571.9074509, 340.37400000000002, 325.78399999999999, 1.7598807999999999, 0.0001226, 15.0, 10000
1488910703.25191, 337.43599999999998, 325.33999999999997, 1.7602230000000001, -5.3000000000000001e-05, 1.5, 100, 1488910655.4086559, 338.44799999999998, 325.512, 1.760111, 8.8599999999999999e-05, 15.0, 1000, 1488910642.841099, 338.72399999999999, 325.55599999999998, 1.7598529999999999, 0.00011900000000000001, 15.0, 10000
1488910774.1983659, 336.04399999999998, 325.06599999999997, 1.7602409999999999, -2.8e-05, 1.5, 100, 1488910726.352056, 336.96899999999999, 325.25299999999999, 1.7600899999999999, 9.1000000000000003e-05, 15.0, 1000, 1488910713.8129959, 337.221, 325.30000000000001, 1.759836, 0.0001204, 15.0, 10000
1488910845.1485779, 334.76400000000001, 324.565, 1.7602370000000001, -1.9300000000000002e-05, 1.5, 100, 1488910797.3036201, 335.61700000000002, 324.95999999999998, 1.7600785000000001, 8.9300000000000002e-05, 15.0, 1000, 1488910784.747364, 335.84800000000001, 325.02300000000002, 1.7598269, 0.0001238, 15.0, 10000
1488910916.107301, 333.512, 321.61799999999999, 1.760257, 3.9999999999999998e-06, 1.5, 100, 1488910868.2587121, 334.36399999999998, 324.22699999999998, 1.7600669, 9.3200000000000002e-05, 15.0, 1000, 1488910855.7085431, 334.58100000000002, 324.45600000000002, 1.7598210000000001, 0.00011900000000000001, 15.0, 10000
1488910987.028769, 332.08499999999998, 318.03100000000001, 1.760227, 6.9999999999999999e-06, 1.5, 100, 1488910939.216753, 333.06599999999997, 320.17000000000002, 1.7600549999999999, 9.3999999999999994e-05, 15.0, 1000, 1488910926.673126, 333.31099999999998, 320.93400000000003, 1.7598171, 0.000118, 15.0, 10000
1488911057.8534551, 330.56900000000002, 315.51499999999999, 1.7602409999999999, 3.1000000000000001e-05, 1.5, 100, 1488911010.1278651, 331.59800000000001, 317.12599999999998, 1.7600530000000001, 9.1399999999999999e-05, 15.0, 1000, 1488910997.5832019, 331.86399999999998, 317.61399999999998, 1.759814, 0.0001198, 15.0, 10000
1488911128.2185349, 329.04000000000002, 313.67899999999997, 1.7602409999999999, 4.6999999999999997e-05, 1.5, 100, 1488911080.6917729, 330.072, 314.863, 1.7600404000000001, 9.2600000000000001e-05, 15.0, 1000, 1488911068.2754741, 330.34300000000002, 315.21199999999999, 1.7598039999999999, 0.00012439999999999999, 15.0, 10000
1488911198.637538, 327.53300000000002, 312.28199999999998, 1.7602310000000001, 5.8999999999999998e-05, 1.5, 100, 1488911151.068712, 328.54700000000003, 313.19900000000001, 1.7600309999999999, 9.2e-05, 15.0, 1000, 1488911138.646796, 328.815, 313.45600000000002, 1.7598033, 0.0001203, 15.0, 10000
1488911269.0119431, 326.072, 311.12599999999998, 1.7602120000000001, 7.1000000000000005e-05, 1.5, 100, 1488911221.4856839, 327.053, 311.87599999999998, 1.7600309999999999, 9.2e-05, 15.0, 1000, 1488911209.0576861, 327.31400000000002, 312.09500000000003, 1.7598, 0.000126, 15.0, 10000
