# This data file was created on Thu Aug 18 11:42:16 2016
# GBA 139 bake
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1471543146.869359, 318.754, 311.297, 1000.0, 1.274118, 0.001288
1471543149.98478, 318.726, 311.272, 10000.0, 1.272173, 0.001017
1471543176.666974, 318.491, 311.061, 100.0, 1.27626, 0.001512
1471543181.793909, 318.446, 311.02, 1000.0, 1.274087, 0.0012549999999999998
1471543184.909355, 318.419, 310.993, 10000.0, 1.272176, 0.000998
1471543211.576766, 318.186, 310.732, 100.0, 1.27628, 0.00145
1471543216.672842, 318.142, 310.678, 1000.0, 1.274102, 0.001252
1471543219.804107, 318.115, 310.645, 10000.0, 1.272182, 0.001003
1471543246.470426, 317.882, 310.345, 100.0, 1.2762, 0.0015400000000000001
1471543251.582728, 317.838, 310.284, 1000.0, 1.274073, 0.001246
1471543254.682218, 317.811, 310.247, 10000.0, 1.272169, 0.000998
1471543281.35, 317.577, 309.871, 100.0, 1.276192, 0.0014830000000000002
1471543286.46232, 317.532, 309.767, 1000.0, 1.274082, 0.0012557
1471543289.593345, 317.504, 309.69, 10000.0, 1.272172, 0.001023
1471543316.292028, 317.262, 308.934, 100.0, 1.27623, 0.001418
1471543321.4041, 317.214, 308.67, 1000.0, 1.27405, 0.001232
1471543324.503495, 317.184, 308.434, 10000.0, 1.27217, 0.0009939999999999999
1471543351.188024, 316.888, 302.65, 100.0, 1.27607, 0.0014570000000000002
1471543356.30026, 316.814, 300.541, 1000.0, 1.274077, 0.001246
1471543359.415483, 316.765, 299.103, 10000.0, 1.272166, 0.000993
1471543386.09799, 316.182, 283.174, 100.0, 1.276141, 0.001466
1471543391.209996, 316.033, 280.136, 1000.0, 1.274054, 0.00124
1471543394.309613, 315.934, 278.445, 10000.0, 1.272147, 0.001006
1471543421.008703, 314.952, 267.108, 100.0, 1.276069, 0.001432
1471543426.104881, 314.739, 265.2, 1000.0, 1.274021, 0.001214
1471543429.220803, 314.607, 264.054, 10000.0, 1.2723, 0.00113
1471543455.887511, 313.378, 254.457, 100.0, 1.276044, 0.001435
1471543460.983602, 313.124, 252.679, 1000.0, 1.273954, 0.001239
1471543464.098804, 312.966, 251.597, 10000.0, 1.27196, 0.00113
1471543490.767292, 311.53, 242.579, 100.0, 1.276025, 0.001398
1471543495.863885, 311.24, 240.907, 1000.0, 1.273906, 0.0011970000000000001
1471543498.963034, 311.059, 239.889, 10000.0, 1.272102, 0.000968
1471543525.646594, 309.439, 233.133, 100.0, 1.275924, 0.001367
1471543530.758207, 309.12, 232.295, 1000.0, 1.27396, 0.00121
1471543533.873542, 308.923, 231.816, 10000.0, 1.272053, 0.000985
1471543560.526397, 307.216, 228.109, 100.0, 1.27584, 0.001402
1471543565.669049, 306.885, 227.425, 1000.0, 1.27389, 0.0011970000000000001
1471543568.768415, 306.683, 227.012, 10000.0, 1.272066, 0.000972
1471543595.453086, 304.937, 223.519, 100.0, 1.275758, 0.001367
1471543600.565647, 304.598, 222.834, 1000.0, 1.273831, 0.001168
1471543603.664774, 304.394, 222.414, 10000.0, 1.27204, 0.0009599999999999999
1471543630.332566, 302.61, 218.794, 100.0, 1.275758, 0.0013859999999999999
1471543635.443873, 302.264, 218.109, 1000.0, 1.273788, 0.0011510000000000001
1471543638.559093, 302.054, 217.694, 10000.0, 1.27202, 0.0009699999999999999
1471543665.227612, 300.246, 214.224, 100.0, 1.2757, 0.00133
1471543670.324354, 299.896, 213.578, 1000.0, 1.273795, 0.00115
1471543673.439365, 299.683, 213.184, 10000.0, 1.27201, 0.00095
1471543700.121716, 297.854, 209.831, 100.0, 1.275602, 0.001295
1471543705.249938, 297.502, 209.199, 1000.0, 1.273725, 0.001159
1471543708.365016, 297.287, 208.816, 10000.0, 1.27202, 0.0009519999999999999
1471543735.049778, 295.445, 205.599, 100.0, 1.275533, 0.001295
1471543740.16164, 295.09, 204.994, 1000.0, 1.273709, 0.001129
1471543743.277514, 294.874, 204.627, 10000.0, 1.272002, 0.000945
1471543769.945003, 293.02, 201.544, 100.0, 1.275573, 0.001284
1471543775.074113, 292.662, 200.962, 1000.0, 1.27373, 0.001119
1471543778.189356, 292.444, 200.61, 10000.0, 1.271989, 0.000932
1471543804.858583, 290.573, 197.645, 100.0, 1.275515, 0.0012250000000000002
1471543809.971596, 290.213, 197.079, 1000.0, 1.273686, 0.001101
1471543813.087083, 289.994, 196.737, 10000.0, 1.271976, 0.000922
1471543839.755935, 288.112, 193.863, 100.0, 1.275399, 0.001206
1471543844.869383, 287.754, 193.321, 1000.0, 1.273709, 0.0011220000000000002
1471543847.969101, 287.534, 192.998, 10000.0, 1.27189, 0.00108
1471543874.654765, 285.648, 190.242, 100.0, 1.275453, 0.00122
1471543879.767378, 285.285, 189.722, 1000.0, 1.273688, 0.0011040000000000002
1471543882.882929, 285.064, 189.408, 10000.0, 1.27192, 0.0009
1471543909.553464, 283.168, 186.766, 100.0, 1.275425, 0.001191
