# This data file was created on Wed Nov 16 13:50:12 2016
# GBA 124; 40V, 80K
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# DC bias set to LO
1479329430.023192, 80.002, 54.192, 10000.0, 1.29193, 0.001955, 15.0
1479329442.461666, 80.002, 54.229, 1000.0, 1.294103, 0.000628, 15.0
1479329490.017866, 80.003, 54.366, 100.0, 1.294506, 0.000227, 1.5
1479329500.450917, 80.003, 54.396, 10000.0, 1.291926, 0.00196, 15.0
1479329512.895902, 80.003, 54.433, 1000.0, 1.294101, 0.000628, 15.0
1479329560.463366, 80.002, 54.587, 100.0, 1.294538, 0.000227, 1.5
1479329570.898958, 80.003, 54.623, 10000.0, 1.2919228, 0.0019611, 15.0
1479329583.353631, 80.004, 54.667, 1000.0, 1.2941, 0.00063, 15.0
1479329630.898007, 80.004, 54.846, 100.0, 1.294529, 0.00024, 1.5
1479329641.321549, 80.003, 54.887, 10000.0, 1.2919213, 0.0019593, 15.0
1479329653.755924, 80.004, 54.936, 1000.0, 1.294099, 0.000634, 15.0
