# This data file was created on Wed Nov 16 19:54:38 2016
# GBA 124; -100V, 40K
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# DC bias set to LO
1479351296.318101, 40.0, 10.321, 10000.0, 1.274791, 0.000515, 15.0
1479351308.759138, 40.0, 10.21, 1000.0, 1.2757881, 0.000598, 15.0
1479351356.296831, 40.001, 10.295, 100.0, 1.276796, 0.000593, 1.5
1479351366.721789, 40.0, 10.27, 10000.0, 1.274792, 0.0005145, 15.0
1479351379.164302, 40.0, 10.219, 1000.0, 1.275786, 0.000595, 15.0
1479351426.732708, 40.001, 10.26, 100.0, 1.276798, 0.000604, 1.5
1479351437.178951, 40.0, 10.219, 10000.0, 1.27479, 0.000516, 15.0
1479351449.618825, 40.0, 10.333, 1000.0, 1.275786, 0.000597, 15.0
1479351497.177873, 40.0, 10.256, 100.0, 1.276807, 0.000592, 1.5
1479351507.61103, 40.001, 10.242, 10000.0, 1.2747852, 0.0005132, 15.0
1479351520.068432, 40.001, 10.243, 1000.0, 1.275784, 0.000595, 15.0
1479351567.622259, 40.0, 10.255, 100.0, 1.276816, 0.0005935, 1.5
1479351578.060552, 40.0, 10.262, 10000.0, 1.2747873, 0.0005125, 15.0
1479351590.522833, 40.0, 10.253, 1000.0, 1.275782, 0.0005956, 15.0
1479351638.204248, 40.0, 10.25, 100.0, 1.276787, 0.0006, 1.5
1479351648.701065, 40.0, 10.263, 10000.0, 1.2747874, 0.0005127, 15.0
1479351661.262276, 40.0, 10.277, 1000.0, 1.275781, 0.000594, 15.0
1479351708.993414, 40.0, 10.333, 100.0, 1.276801, 0.000583, 1.5
1479351719.506227, 40.001, 10.307, 10000.0, 1.274786, 0.000515, 15.0
1479351732.077299, 40.0, 10.333, 1000.0, 1.2757798, 0.0005921, 15.0
1479351779.811585, 40.0, 10.252, 100.0, 1.276806, 0.000606, 1.5
1479351790.322229, 40.001, 10.413, 10000.0, 1.2747826, 0.0005162, 15.0
1479351802.84025, 40.001, 10.26, 1000.0, 1.275779, 0.000591, 15.0
1479351850.529189, 40.001, 10.291, 100.0, 1.276803, 0.00059, 1.5
1479351861.067846, 40.001, 10.37, 10000.0, 1.2747812, 0.0005139, 15.0
1479351873.592193, 40.001, 10.354, 1000.0, 1.275779, 0.000592, 15.0
1479351921.362232, 40.001, 10.401, 100.0, 1.276796, 0.000587, 1.5
1479351931.862469, 40.001, 10.371, 10000.0, 1.274781, 0.000515, 15.0
1479351944.426427, 40.001, 10.289, 1000.0, 1.275776, 0.000589, 15.0
1479351992.163162, 40.0, 10.324, 100.0, 1.276792, 0.000614, 1.5
1479352002.713663, 40.001, 10.391, 10000.0, 1.2747828, 0.0005167, 15.0
1479352015.165355, 40.0, 10.35, 1000.0, 1.275774, 0.000595, 15.0
1479352062.713341, 40.511, 28.479, 100.0, 1.276764, 0.000592, 1.5
1479352073.154377, 40.702, 30.514, 10000.0, 1.274914, 0.00054, 15.0
1479352085.585581, 40.893, 32.719, 1000.0, 1.276019, 0.00062, 15.0
