# This data file was created on Wed Nov 16 14:29:48 2016
# GBA 124; 60V, 75K
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# DC bias set to LO
1479331804.947335, 74.996, 35.598, 10000.0, 1.288893, 0.002347, 15.0
1479331817.381019, 74.997, 35.595, 1000.0, 1.292863, 0.001307, 15.0
1479331864.920015, 74.997, 35.577, 100.0, 1.293903, 0.000377, 1.5
1479331875.362384, 74.998, 35.572, 10000.0, 1.2888821, 0.0023466, 15.0
1479331887.804445, 74.997, 35.568, 1000.0, 1.292856, 0.001309, 15.0
1479331935.337555, 74.997, 35.562, 100.0, 1.293884, 0.00037, 1.5
1479331945.780845, 74.998, 35.563, 10000.0, 1.288881, 0.002349, 15.0
1479331958.223014, 74.998, 35.562, 1000.0, 1.29285, 0.001312, 15.0
1479332005.768274, 74.998, 35.574, 100.0, 1.293909, 0.000366, 1.5
1479332016.222179, 74.999, 35.579, 10000.0, 1.288873, 0.00235, 15.0
1479332028.650951, 74.999, 35.585, 1000.0, 1.292847, 0.001312, 15.0
1479332076.173443, 75.0, 35.594, 100.0, 1.293902, 0.000366, 1.5
1479332086.620715, 75.0, 35.597, 10000.0, 1.288867, 0.002346, 15.0
1479332099.055148, 74.999, 35.605, 1000.0, 1.292843, 0.001312, 15.0
1479332146.580566, 75.0, 35.624, 100.0, 1.29389, 0.000376, 1.5
1479332156.988374, 75.0, 35.629, 10000.0, 1.2888611, 0.0023521, 15.0
1479332169.414732, 75.0, 35.64, 1000.0, 1.29284, 0.001313, 15.0
1479332216.932794, 75.0, 35.663, 100.0, 1.29391, 0.000366, 1.5
1479332227.353882, 75.001, 35.667, 10000.0, 1.28886, 0.002354, 15.0
1479332239.773052, 75.001, 35.677, 1000.0, 1.292837, 0.001314, 15.0
