# This data file was created on Wed Nov 16 15:01:27 2016
# GBA 124; -100V, 75K
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# DC bias set to LO
1479333704.799852, 75.009, 37.801, 10000.0, 1.288786, 0.002352, 15.0
1479333717.248297, 75.009, 37.829, 1000.0, 1.292796, 0.0013312, 15.0
1479333764.806572, 75.009, 37.936, 100.0, 1.293881, 0.00037, 1.5
1479333775.253846, 75.009, 37.958, 10000.0, 1.288787, 0.002347, 15.0
1479333787.696955, 75.009, 37.985, 1000.0, 1.292797, 0.001331, 15.0
1479333835.230945, 75.008, 38.088, 100.0, 1.293862, 0.000379, 1.5
1479333845.666457, 75.008, 38.111, 10000.0, 1.288786, 0.002346, 15.0
1479333858.110218, 75.008, 38.139, 1000.0, 1.292798, 0.001329, 15.0
1479333905.655014, 75.007, 38.238, 100.0, 1.293878, 0.000379, 1.5
1479333916.086448, 75.007, 38.26, 10000.0, 1.288785, 0.002346, 15.0
1479333928.513713, 75.007, 38.288, 1000.0, 1.2927942, 0.0013316, 15.0
1479333976.057323, 75.008, 38.389, 100.0, 1.293884, 0.000383, 1.5
1479333986.501196, 75.007, 38.41, 10000.0, 1.28878203, 0.00234958, 15.0
1479333999.031089, 75.007, 38.436, 1000.0, 1.292795, 0.001329, 15.0
1479334046.703127, 75.007, 38.541, 100.0, 1.293877, 0.000374, 1.5
1479334057.199205, 75.007, 38.562, 10000.0, 1.28878, 0.0023533, 15.0
1479334069.72682, 75.007, 38.589, 1000.0, 1.292797, 0.001332, 15.0
1479334117.55907, 75.007, 38.699, 100.0, 1.293874, 0.000382, 1.5
1479334128.059296, 75.007, 38.721, 10000.0, 1.288783, 0.0023463, 15.0
1479334140.609376, 75.007, 38.747, 1000.0, 1.292797, 0.001329, 15.0
1479334188.348659, 75.007, 38.85, 100.0, 1.293869, 0.000383, 1.5
1479334198.882021, 75.007, 38.872, 10000.0, 1.288782, 0.002347, 15.0
1479334211.452949, 75.008, 38.897, 1000.0, 1.292794, 0.001331, 15.0
1479334259.18647, 75.007, 38.997, 100.0, 1.293873, 0.000387, 1.5
1479334269.693523, 75.007, 39.023, 10000.0, 1.2887781, 0.0023523, 15.0
1479334282.229424, 75.008, 39.05, 1000.0, 1.292792, 0.001329, 15.0
1479334329.980156, 75.007, 39.162, 100.0, 1.293871, 0.000372, 1.5
1479334340.511073, 75.007, 39.187, 10000.0, 1.288776, 0.0023486, 15.0
1479334353.063758, 75.007, 39.214, 1000.0, 1.292794, 0.001332, 15.0
1479334400.802305, 75.008, 39.323, 100.0, 1.293874, 0.000362, 1.5
1479334411.357936, 75.008, 39.351, 10000.0, 1.288777, 0.002349, 15.0
1479334423.885187, 75.007, 39.38, 1000.0, 1.292792, 0.001329, 15.0
